Instrument;ISIN;WKN;Mnemonic;Ticker
MUL AMUN CHINA ESG ETF ED;LU1900067940;000LYX013;LHKG;LHKG.DE
MUL AMUN ASIA-E-J ETF ACC;LU1900068161;000LYX014;LASI;APX.PA
MUL AMUN ASPAC-E-J ETF A;LU1900068328;000LYX015;LASP;AEJ.PA
MUL AMUN CHINA ESG ETF A;LU1900068914;000LYX011;LCHI;ASI.PA
MUL-A.B.E-W.C.XA ETF EOHA;LU1900069219;000LYX0XU;C099;COMH.MI
MUL AMU IN1-10 ETF EURH D;LU1910940268;000LYX99D;B8TQ;B8TQ.DE
XTK2 USD E.M.BOND 2CDLA;LU1920015440;000DBX0RD;XUEB;XUEB.L
AMUNDI I.S.-A.PR.UE DREOD;LU1931974262;000A2PBLF;PR1E;
AMUN.I.S.-A.PR.EU.UEDREOD;LU1931974429;000A2PBLH;PR1Z;PRIZ.L
AMUN.I.S.-A.P.JAP.UEDRYND;LU1931974775;000A2PBLK;PR1J;PRIJ.L
AIS-AM.EUR CO.BD UEDREOD;LU1931975079;000A2PBLN;PR1C;PRIC.L
AMUN.I.S.-A.P.E.G.UEDREOD;LU1931975152;000A2PBLP;PR1R;PR1R.DE
AMUN.I.S.-A.P.G.G.B.UEDRD;LU1931975236;000A2PBLQ;PR1G;PRIG.L
AMU.I.S.-A.P.US T.UEDRDLD;LU1931975319;000A2PBLR;PR1S;PRIT.L
MUL AMUN EUROPE ESG ETF A;LU1940199711;000LYX99A;LEAD;LU1940199711.SG
BNPPE-EOCBS PAB U.ETFEOD;LU1953136287;000A3DF88;ASRT;ASRT.DE
BNP P.EASY-ECPI CEL UETFC;LU1953136527;000A2PHCA;EMEC;REUSE.PA
BNP PE-M.E.S.S-S.C5 U.ETF;LU1953137681;000A2PP8D;EMUS;MUSRI.PA
UBS ETF CHINA UNI.ADLD;LU1953188833;000A2PESQ;UETC;LU1953188833.SG
OSSIAM US STEEPER UE1CDL;LU1965301184;000A2PKUK;USTP;USTP.DE
UBSLFS-ESTX50 ESG AEOD;LU1971906802;000A2PGD1;UET5;LU1971906802.SG
UBSLFS-JPM G.G.ESG DL AA;LU1974693662;000A2PGQR;UIQG;EGO.MI
UBSLFS-JPM DL EM IG ADLA;LU1974695790;000A2PGQ8;EMIG;LU1974695790.SG
UBSLFS-JPM DL EM IG HAEOA;LU1974696418;000A2PGRF;EMIE;LU1974696418.SG
MUL AMUN GREENB ETF ACC;LU1981859819;000LYX0X6;XCO2;XCO2.DE
BNP-ECBSPAB13 U.ETF;LU2008760592;000A2PP8B;ASR3;SRIC3.PA
BNP-ECBSPAB35 U.ETF;LU2008761053;000A2PP8C;ASR5;SRIC5.PA
BNP PE-F.E/N D.EO G.U.ETF;LU2008763935;000A2PP8E;EEPG;GREAL.PA
XTRII-EOZGOVTBD 2CHDLA;LU2009147591;000DBX00R;XGLU;XGLU.L
XTR.S+P500SUETF 1DDLD;LU2009147757;000DBX00S;XSXD;XSXD.L
MUL AMUN EM EX-CH ETF ACC;LU2009202107;000LYX99G;EMXC;EMXC.L
GLOBAL FASHION GRP EO-,01;LU2010095458;000A2PLUG;GFG;LU2010095458.SG
MUL AMUN US C STE2-10 ETF;LU2018762653;000LYX00G;UCT2;STPU.L
MUL-AM.MSCI DI.TE.ESG DLA;LU2023678282;000LYX0ZG;DRUP;UNIC.L
MUL-AM.MSCI F.M.ESG DLA;LU2023678449;000LYX0ZL;GENY;GENY.L
LIF-AMDEMESGSCR.U.ETF DLA;LU2023678878;000LYX0ZH;EBUY;DIGE.L
MUL-AM.MSCI F.M.ESG UEDLA;LU2023679090;000LYX0ZJ;ELCR;MOBI.L
AIS-AM SMACITIES UETF A;LU2037748345;000A2PN77;AMEC;LU2037748345.SG
AIS-EO SRI 0-3 ETF DR EOA;LU2037748774;000A2PQEM;ECR3;ECR3.DE
AMUNDI IS-A.USD CB.UELSHD;LU2037749152;000A2PP4C;PR1P;PR1P.DE
UBSLFS-MSCI EM ADLA;LU2050966394;000A2PRUG;4UBL;
AIS-AIME SRIPAB UETFDREOD;LU2059756598;000A2PTYY;ACU7;LU2059756598.SG
AIS-AMEMSRIPAB UETFDR DLD;LU2059756754;000A2PTYZ;ACUG;MSDU.L
OSS.L.E.G.B.3-5Y C.R.UE1C;LU2069380306;000A2PU65;OG35;OG35.DE
MUL-AMUN ST600 BANK ETF D;LU2082996112;000LYX04C;INDA;INDA.DE
MUL-AMUN ST600 RESOU ETFD;LU2082996385;000LYX04D;E6BR;E6BR.DE
MUF-AM.STXXEO600B.MAT.UED;LU2082996542;000LYX04E;LYX4;LYX4.DE
MUF-AM.STXX EO600C.ST.UED;LU2082997359;000LYX04H;DFOP;DFOP.DE
MUL-AMUN ST600 HEALT ETFD;LU2082997516;000LYX04J;EHLT;EHLT.DE
MUL-AM.ST.EU.600 IN.UED;LU2082997789;000LYX04K;INDU;INDU.DE
MUL-AMUN ST600 INSU ETF D;LU2082997946;000LYX04L;EGV1;LU2082997946.SG
MUL-AMUN ST600 ENERG ETFD;LU2082998167;000LYX04M;OIGS;LU2082998167.SG
MUL-AMUN ST600 TECH ETFD;LU2082998837;000LYX04Q;CSTA;LU2082998837.SG
MUL-AMUN ST600 TELEC ETFD;LU2082999058;000LYX04R;INDB;LU2082999058.SG
MUF-AM.ST.EO600CONS.D.UED;LU2082999132;000LYX04S;6TVL;6TVL.DE
MUL-AMUN ST600 UTILI ETFD;LU2082999215;000LYX04T;LUTL;LUTL.DE
LIF-SM.OV.RE EOD;LU2082999306;000LYX047;EGV2;EGV2.DE
AMUNDI I.S.-A.PR.UE DREOA;LU2089238039;000A2PWMH;PRAE;PRAE.DE
AMUN.I.S.-A.PR.EU.UEDREOA;LU2089238112;000A2PWMJ;PRAZ;PRAZ.DE
AMUN.I.S.-A.P.JAP.UEDRYNA;LU2089238385;000A2PWML;PRAJ;PRAJ.DE
AIS-AM.EUR CO.BD UEDREOA;LU2089238625;000A2PWMN;PRAC;PRAC.DE
AMUN.I.S.-A.P.E.G.UEDREOA;LU2089238898;000A2PWMP;PRAR;LU2089238898.SG
AMUN.I.S.-A.P.G.G.B.UEDRC;LU2089238971;000A2PWMQ;PRAG;LU2089238971.SG
AMU.I.S.-A.P.US T.UEDRDLA;LU2089239193;000A2PWMR;PRAS;PRAS.DE
AMUNDI IS-A.USD C.B.UEDLA;LU2089239276;000A2PWMS;PRAP;PRAP.DE
MUL-AM.DL FED F.RATE UE D;LU2090062352;000LYX038;C101;CBFEDF.SW
MUL AMU E GOB15+ ETF DIST;LU2090062782;000LYX04Y;E15G;LU2090062782.SG
MUL AMU E GOB5-7 ETF DIST;LU2090062865;000LYX040;EGV7;EGV7.DE
MUL AMU E GOB7-10 ETF ACC;LU2090062949;000LYX041;MTDD;MTDD.DE
MUL-AM.MSCI JPN ETF YND;LU2090063673;000LYX05A;NADA;NADA.DE
UBSLFS-JPMCG1-10YB ADLA;LU2095995895;000A2PYAK;JC11;LU2095995895.SG
UBSLFS-BBJT1-3Y BD AYNA;LU2098179695;000A2PX96;CHSD;LU2098179695.SG
UBSLFS-BBMGL CO.SU ADLA;LU2099991536;000A2PYA0;4UBP;CORPSI.SW
UBSLFS-BBMGL CO.SU A HEOA;LU2099992260;000A2PYA5;4UBR;LU2099992260.SG
AIS-A.MSCI WESGUS UETFDRC;LU2109787049;000A2PZC5;SBIM;SBIM.DE
AIS-A.MSCI WESGUS UETFDRC;LU2109787049;000A2PZC5;SBIN;SBIM.DE
AIS-A.MSCI EESGLS UETFDRC;LU2109787551;000A2PZDB;SADM;SADM.DE
AMUND.I.M.EMUSRIPAB UEDRC;LU2109787635;000A2PZDC;SRHE;LU2109787635.SG
AMSCEUNEAMBETFEOA;LU2130768844;000A2P6NH;EABE;LWCE.PA
MUL-AM.MSCI JPN ETF EOHD;LU2133056387;000LYX03F;JNHD;JNHD.DE
XT.II-JPM EMLGB ETF 1DDLD;LU2158769930;000A2P263;XEML;XEML.L
XII-EOCOBDSHDUSRIPAB1CEOA;LU2178481649;000A2P4XG;XZE5;XZE5.L
AIS-IDX EO A.S. ETF DREOA;LU2182388236;000A2P6TL;PR10;EGRI.PA
AIS-A.US T.BD0-1ETF DRDLA;LU2182388665;000A2P6TS;PR1T;LU2182388665.SG
AIS-A.US T.BD0-1ETF HDGEO;LU2182388749;000A2P6TT;PR1H;LU2182388749.SG
BNP PAR.E-EGEBE UEEOA;LU2194447293;000A2QCJJ;BJLE;BLUE.PA
BNP P.E-LC 100E UEEOA;LU2194448267;000A2QCJG;LCDE;LCDE.DE
BNPPE-LC300 WP U.ETFEOA;LU2194449075;000A3CPT0;LOWD;LOWD.DE
MUL AMUN S+P EUR ETF ACC;LU2195226068;000LYX05H;ZPAB;EPAB.PA
XTR.NIKKEI 225 1C YN;LU2196470426;000A2P7NT;XNKY;LU2196470426.SG
XTR.S+P500SUETF 5CEOH;LU2196472984;000A2P7NV;XS5E;XS5E.DE
MUL AMUN NASDAQ II ETF D;LU2197908721;000LYX05V;NADQ;LU2197908721.SG
UBSLFS-MSCIESR EO AA;LU2206597804;000A2P93H;UIW1;UIW1.DE
UBSLFS-MSCIESR HEOAA;LU2206598109;000A2P93L;UIW3;LU2206598109.SG
AIS-P.E.G.B.0-1 UC.E.DREO;LU2233156582;000A2QEUJ;PRAB;LU2233156582.SG
AIS-AIMJNSRIPAB UETFDRYNA;LU2233156749;000A2QEUK;JARI;LU2233156749.SG
AIS-DAX 50 ESG ETF UHEOA;LU2240851688;000A2QGW0;DECD;LU2240851688.SG
BNPPE-EO HY SRI FF EOA;LU2244386053;000A2QMK5;ASRF;ASRF.DE
BNPPE-EO HY SRI FF EOD;LU2244386137;000A2QMK3;ASRG;LU2244386137.SG
B.-JPMESGEM UCITS ETF EOA;LU2244387457;000A2QMK2;ASRE;ASRE.DE
BNPPE-ESG GR.EU U.E.EOA;LU2244387887;000A3CM2M;EGRE;LU2244387887.SG
UBSLFS-SW.I.SO.R. SFAA;LU2250132763;000A2QJ83;CHSR;LU2250132763.SG
XTR.MSCI WLD.SW 1DDLD;LU2263803533;000DBX0RG;XWD1;LU2263803533.SG
UBSLFS-SOL.CN TE. ADLA;LU2265794276;000A2QJ9G;UIC2;CQQQ.SW
UBSLFS-SOL.CN TE. HEDG.AE;LU2265794946;000A2QJ9P;UIC1;CITE.MI
AIS-AIMJSRIPAB UETFDREOHA;LU2269164310;000A2QKHV;JARH;LU2269164310.SG
XTA.DB BCOYS 1CDLA;LU2278080713;000DBX0AA;XCMC;XCMC.L
HOMETOGO SE          EO 1;LU2290523658;000A2QM3K;HTG;HTG.DE
XTRA.MSCIEMASSCSW 1DDLD;LU2296661775;000A2QNNH;XMA1;LU2296661775.SG
AIS-A.I.US C. UEDRHEOD;LU2297533809;000A2QN4F;UCRH;LU2297533809.SG
AIS-AMEOC0-1YE EOA;LU2300294316;000A2QP8C;ECR1;LU2300294316.SG
AIS-MEMASRIPAB UETFDRDLD;LU2300294589;000A3CNFJ;SADA;SADA.L
AIS-A.MSCIJAPANESG ETFDIS;LU2300294746;000A2QQC6;JUPI;LU2300294746.SG
AIS-AM.PRIME EM DR UNHDLA;LU2300295123;000A3CM5D;PRAM;PRAM.L
BE-M.C.S.S.S10C UETFEO;LU2314312849;000A3CT5A;9W1;LU2314312849.SG
BE-M.C.S.S.S10C UC.ETF;LU2314312922;000A3CT5B;9W1A;CHINU.PA
TONIES SE            EO 1;LU2333563281;000A3CM2W;TNIE;LU2333563281.SG
AIS-MEMEXCHELS U.ETF DRDL;LU2345046655;000A3CR0S;EMXU;EMXG.L
MUL AMU GO GREENB ETF ACC;LU2356220926;000LYX9ZR;EAH;ERTH.PA
NOVEM GROUP S.A.     EO 1;LU2356314745;000A3CSWZ;NVM;NVM.DE
LEARND SE             EO1;LU2358378979;000A3CS4Z;LRND;LRND.DE
XTK2 $ E.M.BOND 1DHEOD;LU2361257269;000DBX0QY;XUEE;XUEE.DE
BNPP E-ECPIGEMT U.ETFEOA;LU2365457410;000A3C9H4;ASRP;MEDTE.PA
BNPE-ECPIGESGHE U.ETFEOA;LU2365458145;000A3DDSN;ASRS;LU2365458145.SG
BNPP EJEGSSIGEO U.ETFEOD;LU2365458731;000A3C9H3;ASRN;GSSBO.PA
BNPP EJEGSSIGEO U.ETFEOA;LU2365458814;000A3C9H5;ASRQ;GSSBD.PA
AIS-MUKISRIPAB UETFDR EOD;LU2368674631;000A3CV84;CUIK;CUIK.DE
MUL AMUN C GREENB ETF ACC;LU2370241684;000LYX9ZT;PLAN;LU2370241684.SG
XTR.H.M.C.T.100 1CDLA;LU2376679564;000DBX0RQ;XCTE;XCTE.L
MARLEY SPOON GROUP   EO 1;LU2380748603;000A3C81B;MS1;MS1.MU
SMG HOSPITALITY SE   EO 1;LU2380749676;000A3C8RX;RCVR;RCVR.DE
XTR2-ESGGLGOVBD 1DEOD;LU2385068163;000DBX0RH;XZWG;XZWG.DE
XTR2-ESGGLGOVBD 4D HGDEOD;LU2385068593;000DBX0RT;XZEG;XZEG.DE
AIS-M.PXJSRIP.UEDRUEO EOA;LU2402389261;000A3C6EU;APXJ;LU2402389261.SG
UBS-BBMUSLC 1-5 H.EO AA;LU2408468291;000A3C84J;AW1M;LU2408468291.SG
AIS-IDX EO A.S. UETFDR UH;LU2439113387;000A3DEGS;9E0E;9E0E.DE
AIS-MAFEEJEL UETFDR UH.DL;LU2439119236;000A3DEGP;ACUU;LU2439119236.SG
AIS-MAFEEJEL UETFDR UH.DL;LU2439119236;000A3DEGP;ACUV;LU2439119236.SG
AIS-GL.AGG SRI U.ETF H.EO;LU2439733507;000A3DESC;AHYD;LU2439733507.SG
AIS-GL.AGG SRI U.ETF UHDL;LU2439734141;000A3DESB;8OUU;8OUU.DE
AIS-GL.AGG SRI U.ETF UHDL;LU2439734141;000A3DESB;8OUV;8OUU.DE
AIS-CHN CNY BDS UETFDRUDL;LU2439735890;000A3DKVC;CNYE;LU2439735890.SG
AIS-CHN CNY BDS UETFDRUDL;LU2439735890;000A3DKVC;CNYF;LU2439735890.SG
FRANKFTR.ETF-MOD.VAL.PEOD;LU2439874319;000FRA3TF;C9DF;C9DF.DE
BPE-E.EU.B.L.P. U.ETFEOA;LU2446381555;000A3DT3F;ASRV;BIODV.PA
BNP-ECBSPAB35 U.ETFEOA;LU2446383338;000A3DZEN;ASRX;SRIC6.PA
AIS-A.US T.BD0-1ETFDRHSDA;LU2451511526;000A3DHM8;0NS;0NS.DE
XTRA.MSCI CH 1DDLD;LU2456436083;000DBX0SC;XCS7;XCS7.L
XTR2-ESGGLGOVBD 1CEOA;LU2462217071;000DBX0SH;XGVC;XGVC.DE
XTR2-ESGEZGVBD 1CEOA;LU2468423459;000DBX0SK;XZEB;XZEB.DE
AIS-JPM GGBI GO U.ETFDRUH;LU2469335538;000A3DKJ7;AHYA;AHYA.DE
