Instrument;ISIN;WKN;Mnemonic;Ticker
IS EO H.Y.CO.BD U.ETF EOD;IE00B66F4759;000A1C3NE;EUNW;IHYG.L
ISHSIII-EM.ASIA L.G.B.DLD;IE00B6QGFW01;000A1JTNB;IS0S;IGEA.L
ISHSV-O+G.EX.+PROD.DL A;IE00B6R51Z18;000A1JKQL;IS0D;IOGP.L
ISV-GOLD.PROD.U.ETF DLA;IE00B6R52036;000A1JKQJ;IS0E;IAUP.L
ISHSV-MSCI ACWI DL A;IE00B6R52259;000A1JMDF;IUSQ;ISAC.L
SPDR S+P UK DIV.ARIST.ETF;IE00B6S2Z822;000A1JT1C;SPYG;UKDV.L
ISHSVI-E.S+P500MIN.V.DL A;IE00B6SPMN59;000A1J784;IBCK;SPMV.L
ISV-I.JPM.DLEMCB.UETF DLD;IE00B6TLBW47;000A1JWS3;IS0Q;EMCP.L
ISV-EOC.B.IR.H.ESG UE EOD;IE00B6X2VY59;000A1J5ST;IS0Y;IRCP.L
SPDR S+P EM.MA.DIV.AR.ETF;IE00B6YX5B26;000A1JKSZ;SPYV;EDVD.L
SPDR S+P 500 UCITS ETF;IE00B6YX5C33;000A1JULM;SPY5;SPY5.L
SPDR S+P US D.ARIST.ETF D;IE00B6YX5D40;000A1JKS0;SPYD;UDVD.L
SPDR B.1-3Y.E.G.B.U.ETF;IE00B6YX5F63;000A1JKSV;SYB3;SYB3.DE
SSEEI-BS0-3YECE EOA;IE00B6YX5H87;000A3C6TS;SPPS;SPPS.DE
SPDR B.1-5Y.GILT UETF;IE00B6YX5K17;000A1JKSX;SYB5;GLTS.L
SPDR BL.15+Y.GILT UETF;IE00B6YX5L24;000A1JKSY;SYBL;GLTL.L
SPDR BL.EO H.Y.B.U.ETF;IE00B6YX5M31;000A1JKSU;SYBJ;SYBJ.DE
SPDR FTSE UK ALL SHAREA;IE00B7452L46;000A1JT1A;SPYF;FTAL.L
IS GL.HI.YI.C.B.U.ETF DLD;IE00B74DQ490;000A1J7MG;IBC9;HYLD.L
UBS I.-MSCI USA U.E. ADDL;IE00B77D4428;000A1JVB6;UBU3;
UBS(I)-MSCI US.V.U.E.ADDL;IE00B78JSG98;000A1JVB8;UBU5;USVUSY.SW
IS GBL CORP BD U.ETF DLD;IE00B7J7TB45;000A1J0YD;IS0X;CORP.L
UBS(I.)ETF-SP500 U.E.ADDL;IE00B7K93397;000A1JVB5;UBU9;
UBS(I)-S.G.P.G.M.U.E.ADDL;IE00B7KMNP07;000A1JVYP;UBUD;
UBS(I)-MSCI WOR. U.E.ADDL;IE00B7KQ7B66;000A1JVCA;UBU7;
ISHSV-ITAL.GOVT BD EO D;IE00B7LW6Y90;000A1JXZH;IS0M;IITB.IL
WITR MU.AS.I.ESTX ETP2062;IE00B7SD4R47;000A1VBKT;PCFD;3EUL.L
UBS FDSO-MSCI AC AXJ.AADL;IE00B7WK2W23;000A1JZY0;UIQI;
WITR MU.AS.I.RUSS.ETP2062;IE00B7Y34M31;000A1VBKR;US9L;3USL.L
SPDR S+P 500 LW VOL.USD;IE00B802KR88;000A1J3PA;SPY1;LOWV.L
VANGUARD FTSE 100UETF LSD;IE00B810Q511;000A1JX54;VUKE;VUKE.L
ISHSVI-E.MSCI EO MIN.VEOA;IE00B86MWN23;000A1J783;EUN0;MVEU.L
WITR MU.AS.I.LEVD.ETP2062;IE00B878KX55;000A1VBKS;3DEL;3DEL.L
ISHSVI-G.AAA-AA G.B.DL D;IE00B87G8S03;000A1J40N;IS0Z;IAAA.L
ISHSVI-EO C.BD FINLS EOD;IE00B87RLX93;000A1T94L;IS3B;0UCF.L
INVESCOMI MS US ENE INF A;IE00B8CJW150;000A1T96S;SMLD;MLPD.L
ISHS VI-E.MSCI WL.M.V.DLA;IE00B8FHGS14;000A1J781;IQQ0;MVOL.L
SPDR DW JNES GL.RL.EST.DL;IE00B8GF1M35;000A1J3PB;SPYJ;GLRE.L
VA.FTSE A.W.H.D.Y.UETFDLD;IE00B8GKDB10;000A1T8FV;VGWD;VHYD.L
WITR MU.AS.I.LEVD.ETP2062;IE00B8GKPP93;000A1VBKG;3DES;3SDE.L
WITR MU.AS.I.ESTX ETP2062;IE00B8JF9153;000A1VBKH;PCFC;IE00B8JF9153.SG
WITR MU.AS.I. ETP 62;IE00B8K7KM88;000A1VBKF;US9S;3USS.MI
ISHSVI-E.MSCI EM MIN.VDLA;IE00B8KGV557;000A1J782;EUNZ;EMV.L
FIR.T.G.US L.C.C.A.D.U.E.;IE00B8X9NW27;000A1T860;FTGU;FEX.L
FIRST T.G.-EUROZ.A.D.AAEO;IE00B8X9NY41;000A12FF3;FTGE;FEUZ.L
SPDR MSCI EMU UCITS ETF;IE00B910VR50;000A1KBQ3;ZPRE;EURO.SW
VANG.FTSE DEV.EU.UETF EOD;IE00B945VV12;000A1T8FS;VGEU;VEUR.AS
INVESCOMI MS US ENE INF A;IE00B94ZB998;000A1T79J;SMLP;MLPS.L
VANGUARD FTSE JP.UETF DLD;IE00B95PGT31;000A1T8FU;VJPN;VDJP.L
SPDR S+P US DIV.ARIST.EOH;IE00B979GK47;000A2PFYX;SPPD;SPPD.DE
SPDR B.SASBUSHYCOESG UETF;IE00B99FL386;000A1W3VZ;SYBK;SJNK.L
SPDR S+P GL.DIV.ARIST.ETF;IE00B9CQXS71;000A1T8GD;ZPRG;GLDV.L
VANG.FTSE D.A.P.X.J.DLD;IE00B9F5YL18;000A1T8FT;VGEJ;VDPX.L
SPDR S+P P.AS.DIV.ARI.ETF;IE00B9KNR336;000A1T8GC;ZPRA;ASDV.L
ISHSVI-JPM DL BD EOH DIS;IE00B9M6RS56;000A1W0MQ;IS3C;EMBE.L
ISHSVI-G.C.BD EO H DIST;IE00B9M6SJ31;000A1W02Q;IBCQ;CRPH.IL
X(IE) - MSCI NORDIC 1D;IE00B9MRHC27;000A1T791;XDN0;XDN0.L
XTR.(IE)-MDAX ESG SCR.1D;IE00B9MRJJ36;000A1T795;XDGM;XDGM.DE
HSBC MSCI AC FE XJ UC.ETF;IE00BBQ2W338;000A1W2EL;H411;HMAD.L
SPDR B.1-3Y.US T.B.UETF;IE00BC7GZJ81;000A1W3V0;SYBW;TRS3.L
SPDR B.0-3Y.E.C.B.UETF;IE00BC7GZW19;000A1W3V1;SYBD;SYBD.DE
SPDR B.0-3Y.US C.B.UETF;IE00BC7GZX26;000A1W3V2;SYBF;SUSC.L
SPDR B.0-5Y.LS C.B.UETF;IE00BCBJF711;000A1W8WE;SYBQ;SUKC.L
SPDR MSCI WRLD S.CAP UE;IE00BCBJG560;000A1W56P;ZPRS;WDSC.L
XTR.(IE)-MSCI WORLD SC.1D;IE00BCHWNQ94;000A1W3F6;XDWY;
X(IE)-MSCI USA ENERGY 1D;IE00BCHWNS19;000A1W3F8;XUEN;XUEN.L
X(IE)-MSCI USA FINANC. 1D;IE00BCHWNT26;000A1W3F9;XUFN;XUFN.L
XTR.MSCI USA IND.UC.ETF1D;IE00BCHWNV48;000A1W3GA;XUIN;IE00BCHWNV48.SG
X(IE)-MSCI USA HEALTHC.1D;IE00BCHWNW54;000A1W3GB;XUHC;XUHC.L
IS DL C.B.I.R.H.U.ETF DLD;IE00BCLWRB83;000A1W37Y;IS3F;LQDH.L
ISIV-MSCI EMUMC.U.ETF EOA;IE00BCLWRD08;000A1W370;IS3H;EMUM.L
ISIV-MSCIEMULACAU.ETF EOA;IE00BCLWRF22;000A1W37Z;IS3G;0MUL.L
ISIV-DL S.D.C.B U.ETF DLD;IE00BCRY5Y77;000A1W372;IS3J;SDIG.L
ISHSIV-DL S.D.H.Y.BD DL D;IE00BCRY6003;000A1W373;IS3K;SDHY.L
ISHSIV-DL ULTRASH.BD DL D;IE00BCRY6227;000A1W374;IS3L;ERND.L
ISIV-EO ULTR.BD U.ETF EOD;IE00BCRY6557;000A1W375;IS3M;ERN1.L
LEVERAGE SHA ETP 2070;IE00BD09ZV33;000A3GUGB;2VA;VIS2.L
ISHSIV-INC.A.DIV.U.E.DLA;IE00BD0B9B76;000A2DVK8;OPEN;OPEN.L
INVESCOM3-US FALLENG DIS;IE00BD0Q9673;000A2AN8T;FAHY;FAHY.L
ISHSIV-M.U.MCEWU ETF DLA;IE00BD1F4K20;000A2AP33;QDVC;IUSZ.L
ISHSIV-E.MSCI USA QUAL.F.;IE00BD1F4L37;000A2AP34;QDVB;IUQA.L
ISHSIV-E.MSCI USA VAL.FA.;IE00BD1F4M44;000A2AP35;QDVI;IUVL.L
ISHSIV-E.MSCI USA M.F.DLA;IE00BD1F4N50;000A2AP36;QDVA;IUMO.L
BK OF IRELD GRP      EO 1;IE00BD1RP616;000A2DR6L;BIRG;BIRG.IR
UBS(I.)ETF-SP500 UE AAEOH;IE00BD34DK07;000A2AMYQ;UEQD;
ISHSIV-IS.OMX STOC.CAP.SK;IE00BD3RYZ16;000A2ARPW;OM3X;OM3X.DE
ISHSV-S+P U.S BANKS  DLA;IE00BD3V0B10;000A2JHXR;IUS2;BNKS.L
ISHS-CORE MSCI EM IMI DLD;IE00BD45KH83;000A2JDYF;IBC3;EIMU.L
X(IE)-ESGDLEMBDQWUE 1D;IE00BD4DX952;000A144GB;XQUA;XQUA.L
X(IE)-ESGDLEMBDQWUE 2DEOH;IE00BD4DXB77;000A144GC;XQUE;XQUE.DE
UBS I.-MSCI USA U.E.AADL;IE00BD4TXS21;000A2ARF7;4UBB;USAUSW.SW
UIE-MSCI W.ETF ADLA;IE00BD4TXV59;000A2PK5J;UETW;IE00BD4TXV59.SG
UBS I.ETF-M.U.H.T.EO EOAA;IE00BD4TYG73;000A1W5DE;UBUJ;
SPDR FTSE UK ALL SH.LSUA;IE00BD5FCF91;000A2JHMP;ZPRD;FTAD.L
FIRST TR.US EQI.INC.U.BDL;IE00BD6GCF16;000A2DLWP;FTGI;UNCU.L
WISDOMTREE US EQ.INC.DLAC;IE00BD6RZT93;000A2ARXC;WTD9;DHSA.L
WISDOMTREE US EQ.INC.EOHA;IE00BD6RZW23;000A2AS6C;WTDY;DHSF.MI
PFIE.-E ST HY CB IU EOA;IE00BD8D5G25;000A2DLP1;EUHA;
PFIE.-E ST HY CB IU EOI;IE00BD8D5H32;000A2DLP2;EUHI;
ISHSIV-DL T.BD20+YR EOHD;IE00BD8PGZ49;000A2DXN8;IUSV;DTLE.L
JPM-BB US TR BOND 1-3YR A;IE00BD9MMD49;000A2JG3B;JA13;JU13.L
JPM-EUR ULTRA SHORT INC A;IE00BD9MMF62;000A2JG3C;JEST;JEST.MI
ISHSIII-CORE GL.A.BD EOAH;IE00BDBRDM35;000A2H6ZT;EUNA;0GGH.L
FTGF-FT NASD.C.E.G.E.U.E.;IE00BDBRT036;000A2DLPK;QCLN;QCLU.L
VANG.USD CORP.1-3 YR BDD;IE00BDD48R20;000A2JCCL;VUSC;VDUC.L
ISHSII-JPM.ESG DL EM B.U.;IE00BDDRDW15;000A2JQ2J;36B1;EMES.L
JPM-EM SOV BOND EUR HDG A;IE00BDDRDY39;000A2JQ3G;JMBE;
ISHSV-S+P500 C.S.U.ETF DL;IE00BDDRF478;000A2JQ2H;IU5C;IUCM.L
HANETF-H-G.TEMEEQWE ACC.;IE00BDDRF700;000A2JR0J;T3KE;ITEK.L
WISDOMTREE E.M.EQ.INC.DLA;IE00BDF12W49;000A2ARXB;WTD8;DEMR.L
WISDOMTREE EUR.SC.DIV.EOA;IE00BDF16114;000A2ARXA;WTD7;DFEP.L
VANECK GL.MINING UC.ETF;IE00BDFBTQ78;000A2JDEJ;WMIN;GDIG.L
JPM-EM SOV BOND D;IE00BDFC6G93;000A2JBL7;JPBM;JPMB.L
JPM-USD ULTRA SHORT INC D;IE00BDFC6Q91;000A2JBL6;JPPS;JPST.L
IS DL T.BD1-3YR U.ETF EHA;IE00BDFK1573;000A2JE39;2B7S;IBTE.L
ISHS VI-DIV.COM.S.U.ETF;IE00BDFL4P12;000A2DK6R;SXRS;ICOM.L
X(IE)-MSCI EMU S.1DEO;IE00BDGN9Z19;000A2AP5L;XMVE;XMVE.DE
UBS I.ETF-MSC.U.S.F.M.ADL;IE00BDGV0415;000A2JSD1;USUE;USFMA.SW
ISHSII-DL TIPS 0-5 U.ETF;IE00BDQYWQ65;000A2DKPQ;SXRH;TIP5.L
ISHSIII-IS.INT.CR.BD U.E.;IE00BDQZ5152;000A2DKPP;SXRF;ICBU.L
UBSIETFMSCIACWI ADL;IE00BDR55471;000A2PL58;AW1P;AWSRIA.SW
UBS(IRL)ETF-MS.AC.S.EOAAH;IE00BDR55927;000A2H5CB;AW1R;
UBS(I.)ETF-GL.GEN.E.AAEOH;IE00BDR5H073;000A2H5JL;GGUE;4UBD.MU
X(IE)-USD HIGH YLD C.B.1D;IE00BDR5HM97;000A2DXQ6;XUHY;XUHY.L
VANECK J.P. EM BO UC.ETF;IE00BDS67326;000A2DQKN;EM1C;EMLC.L
SSEEII-S.FTSE GL.C.BD EOH;IE00BDT6FP91;000A2JE3J;SPF1;SPF1.DE
SSEEII-S.FTSE GL.CO.BD DL;IE00BDT6FR16;000A2JE3K;SPF2;SPF2.DE
INVESCOM2 PREFSH EURHD A;IE00BDT8V027;000A2JEE2;PDSE;PDSE.DE
WISDOMTREE ART. INT.DLAC;IE00BDVPNG13;000A2N7KX;WTI2;WTAI.L
WISDOMTR.EN.C.E-AG.DL AC.;IE00BDVPNS35;000A3CZJN;WAXG;WXAG.L
WISDOMTR.EN.C.E HGDDLA;IE00BDVPNV63;000A3CNQ1;EXAG;IE00BDVPNV63.SG
INVESCOM3 S+P 500 QVM A;IE00BDZCKK11;000A2DMBV;QVMP;PQVM.L
ISHSII-DL TIPS EO-H. ACC.;IE00BDZVH966;000A2JDYH;IBC5;0TPE.L
ISHSIV-MSCI WLD.SRI U.DLD;IE00BDZZTM54;000A2DX7X;2B7J;SUWS.L
L+G-L+G ALL COMMODITIES;IE00BF0BCP69;000A2DQ7M;ETLF;BCOG.L
L+G-L+G PHARMA BREAKTHR.;IE00BF0H7608;000A2H9XR;ETLI;BIOT.L
L+G-L+G BATT.VALUE-CHAIN;IE00BF0M2Z96;000A2H5GK;BATE;BATT.L
L+G-L+G ECOMM.LOGISTICS;IE00BF0M6N54;000A2H5GL;ETLH;ECOM.L
ISHSII-DL FR BD ETF EOHDD;IE00BF11F458;000A2DUC4;SXRR;0FLE.L
FTG-NAS.CYB.ETF ADLA;IE00BF16M727;000A2P4HV;CBRS;CIBR.L
SDPR MSCI ACW HGD.DLA;IE00BF1B7272;000A2JQU4;SPP2;
SPDR MSCI ACW HGD.EOA;IE00BF1B7389;000A2JQU5;SPP1;SPP1.DE
SPDR BL.GL.AG.BD DLHUE;IE00BF1QPH33;000A2H8NM;SPFU;SPFU.DE
SPDR BL.GL.AG.BD LSHUE;IE00BF1QPJ56;000A2H8NN;SPFB;SPFB.DE
SPDR BL.GL.AG.BD EOHUE;IE00BF1QPL78;000A2H8NQ;SPFE;SPFE.DE
FT ICAV-FR.EM.EQ.ETF DLA;IE00BF2B0K52;000A2DTF1;FLXE;FREM.L
FT ICAV-F.EUR.Q.D.ETF EOD;IE00BF2B0L69;000A2DTF2;FLXD;FRXD.L
FT ICAV-F.G.Q.DIV.ETF DLD;IE00BF2B0M76;000A2DTF0;FLXX;FRGD.L
FT ICAV-F.G.E.SRI ETF DLA;IE00BF2B0N83;000A2DTF3;FLXG;FRGE.L
FT ICAV-F.US EQ.U.ETF DLA;IE00BF2B0P08;000A2DTFZ;FLXU;FRUE.L
INVESCOM2 US T B 7-10Y A;IE00BF2FN646;000A2N7D2;TRDX;TREX.L
IMII-US T.B7-10 DLA;IE00BF2FN752;000A2PEPQ;TRXA;TRXA.L
INVESCOM2 US T B 7-10Y A;IE00BF2FN869;000A2PELX;TRDE;IE00BF2FN869.SG
INVESCOM2 US T B 1-3Y A;IE00BF2FNG46;000A2N7D1;TRD3;TRE3.L
IMII-US T.B.1-3 DLA;IE00BF2FNH52;000A2PEPP;TRX3;TR3A.L
IMII-US T.B.1-3 EOD;IE00BF2FNJ76;000A3E4ZY;T3RE;T3RE.DE
INVESCOM2 US T B 3-7Y A;IE00BF2FNQ44;000A2N8PA;TRD7;TRE7.L
INVESCO MKTS II DLA;IE00BF2FNR50;000A2PEPS;TR7A;TR7A.L
INVESCO MKTS II EOD;IE00BF2FPB31;000A3E4Z0;T7EU;T7EU.DE
INVESCOM2 US TRSY B D A;IE00BF2GFH28;000A2N7D0;TRDS;TRES.L
IMII-US TRE.BD EOD;IE00BF2GFK56;000A3E4ZZ;TRFE;TRFE.DE
ISHSII-DLHY CORP BD EOHDD;IE00BF3N7102;000A2DUCX;IBC2;IHYE.L
ISHSIV-FALL.A.H.Y.C.BDEHD;IE00BF3N7219;000A2DUC1;IBC7;WNGE.L
JPM-GLOBAL REI EQ A;IE00BF4G6Y48;000A2DWM6;JREG;JREG.L
JPM-EMERGING MKT REI EQ A;IE00BF4G6Z54;000A2DWM5;JREM;JREM.L
JPM-US REI EQ A;IE00BF4G7076;000A2DWM7;JREU;JREU.L
JPM-EUROPE REI EQ A;IE00BF4G7183;000A2DWM4;JREE;JREE.L
INVESCOMI BB CMTY EUR HDG;IE00BF4J0300;000A2JN3K;CMOE;CMOE.MI
HSBC ETFS-MSCI CHIN.A IDL;IE00BF4NQ904;000A2N390;H41K;HMCT.L
ISHSIII-M.W.S.C.U.ETF DLA;IE00BF4RFH31;000A2DWBY;IUSN;WSML.L
WITR MU.AS.I. ETP 2062;IE00BF4TW453;000A2F4WK;XMWH;3UBS.MI
WITR MU.AS.I. ETP 2062;IE00BF4TWC33;000A2HH1S;XMWJ;META.L
INVESCOM2-DLIGCOBDESG A;IE00BF51K025;000A2DX8R;PUIG;PUIG.SW
INVESCOM2 EM USD B A;IE00BF51K132;000A2DX8T;EMSB;IE00BF51K132.SG
INV.MII-EUR IG CORP BD A;IE00BF51K249;000A2DX8S;PSFE;PSFE.DE
VANECK GL FA.ANGEL UC.ETF;IE00BF540Z61;000A2JEMG;GFEA;GFA.L
VANECK EM HY BOND ADLA;IE00BF541080;000A2JEMH;HY3M;HYEM.L
JPM-USD CORP BD REI A;IE00BF59RV63;000A2N76C;JRUB;JRUB.L
JPM-EUR CORP BD 1-5 REI A;IE00BF59RW70;000A2N76E;JER5;JR15.L
JPM-EUR CORP BD REI A;IE00BF59RX87;000A2N76D;JREB;JREB.MI
ISHSII-EO FR BD ESG EOD;IE00BF5GB717;000A2JBMD;EFRN;EFRN.DE
PFI ETF-P.COV.BD EOI;IE00BF8HV717;000A1W6DJ;COVR;COVR.DE
XT.-DLCOBDDUSRIPAB 1D;IE00BF8J5974;000A2H5F5;XYLD;XYLD.L
L+G U.ETF-L+G DIG.PAYM.DL;IE00BF92J153;000A2H5GM;DPGA;IE00BF92J153.SG
OSSIAM-O.ESG LC S.B.C.US;IE00BF92LR56;000A2JFY6;5HED;5HED.L
OSSIAM-O.ESG LC S.B.C.US;IE00BF92LV92;000A2JFY7;5HEE;5HEE.DE
FTGF.-FT CL.COMP.ETF AADL;IE00BFD2H405;000A2N9EF;SKYE;FSKY.L
XT.-DLCOBDDUSRIPAB 2CEOH;IE00BFMKQ930;000A2JNWQ;XYLE;XYLE.DE
XTR.-DL C.BD 1CDLA;IE00BFMKQC67;000A2JNWP;XDCC;XDCC.DE
X(IE)-MSCI EUROPE ESG 1C;IE00BFMNHK08;000A2JHSG;XZEU;XZEU.DE
X(IE)-MSCI USA ESG 1C;IE00BFMNPS42;000A2JHSH;XZMU;XZMU.L
V.FTSE250UE LSA;IE00BFMXVQ44;000A2PFN5;VMIG;IE00BFMXVQ44.SG
V.S+P500 U.ETF DLA;IE00BFMXXD54;000A2PFN2;VUAA;VUAA.L
V.FTSE100ETF LSA;IE00BFMXYP42;000A2PFN4;VUKG;IE00BFMXYP42.SG
VANGUARD FTSE JP.UETF DLA;IE00BFMXYX26;000A2PLS8;VJPA;VJPA.L
VANGU. FTSE JP.U ETF EOHA;IE00BFMXYY33;000A2PL2G;VJPE;VJPE.DE
ISHSIV-MSCI EMU ESG S.EOA;IE00BFNM3B99;000A2N48B;SLMA;SLMA.DE
ISHSIV-MSCI EMU ESG S.EOD;IE00BFNM3C07;000A2N48C;SLMB;
ISHSIV-MSCI EUR.ESG S.EOA;IE00BFNM3D14;000A2N48D;SLMC;SLMC.DE
ISHSIV-MSCI EUR.ESG S.EOD;IE00BFNM3F38;000A2N48E;SLMD;SLMD.DE
ISHSIV-MSCI USA ESG S.DLA;IE00BFNM3G45;000A2N6TB;SGAS;SASU.L
ISHSIV-MSCI USA ESG S.DLD;IE00BFNM3H51;000A2N6TC;SLUS;SDUS.L
ISHSIV-MSCI WLD ESG S.DLA;IE00BFNM3J75;000A2N6TD;SNAW;SAWD.L
ISHSIV-MSCI WLD ESG S.DLD;IE00BFNM3K80;000A2N6TE;S6DW;SDWD.L
ISHSIV-MSCI JAP.ESG S.DLA;IE00BFNM3L97;000A2N6TF;SGAJ;SAJP.L
ISHSIV-MSCI JAP.ESG S.DLD;IE00BFNM3M05;000A2N6TG;SODJ;SDJP.L
ISHSIV-MSCI EM IMI ES.DLD;IE00BFNM3N12;000A2N6TJ;OM3Y;SEDM.L
ISHSIV-MSCI EM IMI ES.DLA;IE00BFNM3P36;000A2N6TH;AYEM;AYEM.DE
WTR.AT1 COCO BD HGDEOD;IE00BFNNN236;000A2JQ0E;WTEB;COBO.MI
SPDR EURO STOXX L.VOL. UE;IE00BFTWP510;000A1W8WD;ZPRL;ZPRL.DE
SPDR S+P US CO.S.S.S.UETF;IE00BFWFPX50;000A2JPTK;ZPDK;SXLC.L
SPDR B.EM.LOC.BD UE.ACC;IE00BFWFPY67;000A2JPTJ;SPFA;EMDA.SW
FT ICAV-F.F.A.XCH XJP DLD;IE00BFWXDV39;000A2JKUU;FVSJ;FLQA.SW
FT ICAV-F.DL IGCB ETF DLD;IE00BFWXDX52;000A2JKUW;FVUI;
FT ICAV-F.EUR S.M.ETF EOD;IE00BFWXDY69;000A2JKUX;FVSH;
L+G-US. EQ. DLA;IE00BFXR5Q31;000A2N4RG;ETLS;LGUS.L
L+G-GL.EQ. DLA;IE00BFXR5S54;000A2N4PQ;ETLQ;LGGL.L
L+G-JP.EQ. DLA;IE00BFXR5T61;000A2N4PR;ETLR;LGJP.L
L+G-EU.EX UK EQ EOA;IE00BFXR5V83;000A2N4PS;ETLN;LGEU.L
L+G-AP.EX JN EQ DLA;IE00BFXR5W90;000A2N4PT;ETLK;LGAP.L
L+G-M.S.E.C. DLA;IE00BFXR6159;000A2N4PW;EN4C;IE00BFXR6159.SG
KRANESHS-K.CSI CH.INTN.UE;IE00BFXR7892;000A2PBU9;KWBE;KWEB.L
ISHSVII-DLTB.3-7YR DL DIS;IE00BFXYHY63;000A2JKT2;OM3M;OM3M.DE
SPDR MSCI WORLD UE DLUA;IE00BFY0GT14;000A2N6CW;SPPW;SWRD.L
HANETF-EMEMINTN DLA;IE00BFYN8Y92;000A2JR0G;EMQQ;EMQP.L
INVESCOM3 AT1 CAP B EH A;IE00BFZPF439;000A2JK9Y;XAT1;XAT1.MI
INVESCOM3 NASDAQ-100 A;IE00BFZXGZ54;000A2N6RV;EQQB;EQAC.SW
X(IE)-USD H.Y.C.BD 2CEOHD;IE00BG04LT92;000A2JDYP;XUHE;XUHE.DE
X(IE) - MSCI USA 2CEOHD;IE00BG04M077;000A2JDYV;XD9E;XD9E.DE
ISHSIV-DG.SEC. DLD;IE00BG0J4841;000A2JNYG;IS4S;SHLD.L
ISHSIII-BR.DL HY C.BD DD;IE00BG0J4957;000A2JMGF;UDHY;HYUS.L
ISHSIII-IS HY C.BD DEOD;IE00BG0J4B71;000A2JMZE;EH1Y;IE00BG0J4B71.SG
ISHSIV-DIGITIL.SECUR.DL A;IE00BG0J4C88;000A2JMGE;L0CK;LOCK.L
IIM2-M.E.L.C.P.ETF EOD;IE00BG0NY640;000A0PGVT;ICFP;ICFP.MI
ISHSIV-E.MSCI EM VAL. DLA;IE00BG0SKF03;000A2JJAQ;5MVL;EMVL.L
ISIV-MWEEUETF DLD;IE00BG11HV38;000A2PDNV;EMND;EEWG.L
X(IE)-MSCI JAPAN ESG 1C;IE00BG36TC12;000A2JHSE;XZMJ;XZMJ.L
X(IE)-MSCI EM.MKTS ESG 1C;IE00BG370F43;000A2JHSF;XZEM;IE00BG370F43.SG
VANGUARD-GL.A.B.U.ETF EOH;IE00BG47KB92;000A2N9W4;VAGE;VAGE.DE
VAN.FDS.-GL.AG.BD HGDEOA;IE00BG47KH54;000A2PJZJ;VAGF;VAGF.MI
ISHSII-DCB 03ESG ETF EOHA;IE00BG5QQ390;000A2N9ZM;IU0E;IU0E.DE
WTR ENH.COMMOD. HGDEOA;IE00BG88WG77;000A2JQ0F;WTEH;IE00BG88WG77.SG
JPM-USD ULTRA SHORT INC A;IE00BG8BCY43;000A2N8HQ;JPPA;JPSA.L
INV.COINSH.GL.BLOCKCH. A;IE00BGBN6P67;000A2PA3S;BNXG;BCHN.L
ISHSII-ASIA PROP.YLD DLA;IE00BGDPWV87;000A2N8RP;AYEP;AYEP.DE
ISHSII-MSCI EUR.SRI EODIS;IE00BGDPWW94;000A2N9LL;36B3;ISED.AS
IS EUR.PROP.YI.U.ETF EOA;IE00BGDQ0L74;000A2N8FS;IPRE;
ISHSIV-MSCI EM SRI DLDIS;IE00BGDQ0T50;000A2N9LJ;36B5;SEMD.AS
ISHSIV-MSCI JAPAN SRI DL;IE00BGDQ0V72;000A2N9LK;36B4;SUJD.AS
X(IE)-MSCIACWLDSC 1C;IE00BGHQ0G80;000A1W8SB;XMAW;XMAW.MI
INVESCOM2 EURGOV B5-7Y A;IE00BGJWWT11;000A2PM7M;EIB7;IE00BGJWWT11.SG
INVESCOM2 EURGOV B3-5Y A;IE00BGJWWV33;000A2PM7L;EIB5;IE00BGJWWV33.SG
INVESCOM2 EURGOVB 7-10YA;IE00BGJWWW40;000A2PM7N;EIBX;IE00BGJWWW40.SG
INVESCOM2 EUR GOV BD A;IE00BGJWWX56;000A2N7D3;EIBB;IE00BGJWWX56.SG
INVESCOM2 EUR GOVB1-3Y A;IE00BGJWWY63;000A2N7D4;EIB3;IE00BGJWWY63.SG
X(IE)-S+P 500 1DEOH;IE00BGJWX091;000A2N4YV;XDPD;XDPD.DE
ISHS IV-EL.VEH.+DR.T.DLA.;IE00BGL86Z12;000A2N9FP;IEVD;ECAR.L
ISHSVII-DLTB.3-7YR EUDH;IE00BGPP6473;000A2PDTT;CBUE;IE00BGPP6473.SG
ISHSII-DLT.BD7-10YR EODH;IE00BGPP6697;000A2PDTS;IBB1;
X(IE)-MSCI USA CO.ST.1DDL;IE00BGQYRQ28;000A1W9KC;XUCS;XUCS.L
X(IE)-MSCI USA CO.DI.1DDL;IE00BGQYRR35;000A1W9KB;XUCD;XUCD.L
X(IE)-MSCI USA IN.TE.1DDL;IE00BGQYRS42;000A1W9KD;XUTC;XUTC.L
ISHS DL TB 0-1YR ETF DLD;IE00BGR7L912;000A2PBNQ;IBCC;IBTU.L
X(IE)-S+P E.EX UK1DEO;IE00BGV5VM45;000A2JCAG;XUEK;XUEK.DE
X(I)-AI+BIG DATA ETF 1CDL;IE00BGV5VN51;000A2N6LC;XAIX;IE00BGV5VN51.SG
XTR(IE)-FUT.MOB.ETF 1CDL;IE00BGV5VR99;000A2N6LL;XMOV;XMOV.SW
VAN.DL E.M.G.BD DL ACC;IE00BGYWCB81;000A2PCCJ;VAGG;VDEA.L
VAN.USD CORP.BD DL ACC;IE00BGYWFK87;000A2PCCH;VUCE;VDPA.L
VAN.USD CORP.BD HGDEOA;IE00BGYWFL94;000A2P743;VDCE;IE00BGYWFL94.SG
